TÍTULO;AUTOR;AUTOR INSTITUCIONAL;AÑO;EDITOR;REUNIÓN;SIGNATURA;CÓDIGO DOC;ICS;DESCRIPTORES;RESUMEN
La investigación bibliotecológica en la Argentina y los Estados Unidos;Falcato, Pedro;Centro de Investigación Documentaria (CID);1989;s.ed.;;3611;;;"Bibliotecología; Ciencias de la Información; Investigación Científico Técnica; Argentina; Estados Unidos";
Evaluación administrativa de publicaciones periódicas en una biblioteca argentina especializada multidisciplinaria de investigación;Falcato, Pedro;Centro de Investigación Documentaria (CID);1993;INTI-CID;;3615;;;"Bibliotecología; Publicaciones Periódicas; Evaluación de la Información; Bibliometría; Administración; Bibliotecas Especializadas";
Panorama general de la información en relación con la industria argentina;Falcato, Pedro;Centro de Investigación Documentaria (CID);1987;s.ed.;;3052;;;"Información; Sistemas de Información; Argentina; Cambio Tecnológico; Bases de Datos";
Necesidades de información en la industria y publicaciones periódicas: consideraciones previas a su estudio;Falcato, Pedro;Centro de Investigación Documentaria (CID);1987;s.ed.;. Seminario, 1. AR. 1987;3211;;;"Publicaciones Periódicas; Fuentes de Información; Usuarios; Empresas Industriales; Tecnología Apropiada";
La ley de Bradford y sus aplicaciones: una introducción;Falcato, Pedro;Centro de Investigación Documentaria (CID);1989;s.ed.;;3404;;;"Técnicas Estadísticas; Publicaciones Periódicas; Bibliometría";
"Breve panorama de la situación de Internet en la República Argentina. Informe misión al exterior; autorizada por Disposición de Presidencia N§189/95, a Bogotá-Colombia, del 25 al 29 de setiembre de 1995";Falcato, Pedro;Centro de Investigación Documentaria (CID);1995;INTI-CID;Organización de las Naciones Unidas para el Desarrollo Industrial (ONUDI) // COLCIENCIAS, Bogotá, CO. Internet training course. CO. 1995;3870;;;"Viajes; Cursos; Capacitación; Internet; Redes de información; Argentina";
Guías para la selección y utilización de términos de búsqueda en bases de datos con campos de lengua natural;Falcato, Pedro;Centro de Investigación Documentaria (CIME-CID);2000;s.ed.;;4276;;;"Recuperación de información; Estrategias de búsqueda; Términos de indización; Términos de búsqueda; Servicio de referencia; Usuarios; Lenguajes de indización";
Directrices para las transacciones de referencia en la  Biblioteca del Instituto Nacional de Tecnología Industrial;"Falcato, Pedro; López, Alicia Isabel; Araujo, Juan Facundo";Centro de Investigación y Desarrollo de Métodos y Técnicas para Empresas Industriales (INTI-Extensión y Desarrollo-div.Biblioteca);2004;INTI;;4411;;;"Servicio de referencia; Sistemas de calidad; Bibliotecas especializadas; Procedimientos; Calidad; Usuarios; Manejo de la información; INTI";
"Cuando opinar se convierte en un ejercicio académico;17 editoriales de información, cultura y sociedad";;Instituto de Investigaciones Bibliotecológicas (INIBI);2007;INIBI;;021/I59;;;"Bibliotecología; Investigación; Ciencias de la información; Bibliotecas; Bibliotecas públicas; Usuarios; Evaluación";
Sistema de ayuda para la redacción de mensajes en un servicio de referencia por correo electrónico;Falcato, Pedro;;2005;INIBI;;4514;;;"Referencia virtual; Servicio de referencia; Correo electrónico; Comunicaciones; Interfaces";
Lugares entre no lugares;Falcato, Pedro;;2007;INIBI;;4563;;;"Información; Política de información; Bibliotecas; Manejo de la información";
Acerca de profesión, modas, cambio y continuidad;Falcato, Pedro;;2007;INIBI;;4564;;;"Profesionales; Bibliotecología; Bibliotecarios";
Sistema para la gestión de consultas de referencia recibidas por correo electrónico;Falcato, Pedro; (INTI-Extensión y Desarrollo- Biblioteca);2007;INTI;Instituto Nacional de Tecnología Industrial (INTI), Buenos Aires, AR. Jornadas de desarrollo e innovación tecnológica, 6 / Tecnologías blandas, desarrollo e innovación. AR. 2007;PEI/2;;;"Referencia virtual; Servicio de referencia; Correo electrónico; Gestión; Bibliotecas especializadas; INTI; Software";
Sistema de respuestas semiautomáticas a consultas de referencia recibidas por correo electrónico;Falcato, P.; (INTI-Extensión y Desarrollo-Biblioteca);2004;INTI;Instituto Nacional de Tecnología Industrial (INTI), Buenos Aires, AR. Jornadas de desarrollo e innovación tecnológica, 5 / Otras actividades tecnológicas, informática, aplicación interna. AR. 2004;;;;"Referencia virtual; Servicio de referencia; Correo electrónico; Automatización; Software; Sistemas computarizados; Informática";
Directrices para las transacciones de referencia en la Biblioteca del Instituto Nacional de Tecnología Industrial;"Falcato, P.; López, A. I.; Araujo, J. F."; (INTI-Extensión y Desarrollo-Biblioteca);2004;INTI;Instituto Nacional de Tecnología Industrial (INTI), Buenos Aires, AR. Jornadas de desarrollo e innovación tecnológica, 5 / Otras actividades tecnológicas, procesos, aplicación interna. AR. 2004;;;;"Bibliotecas especializadas; INTI; Servicio de referencia; Planificación; Fuentes de información; Sistemas de calidad";
Búsqueda de información mediante términos de la lengua natural en fuentes electrónicas y evaluación de las mismas;Falcato, P.; (INTI-Extensión y Desarrollo-Biblioteca);2000;INTI;Instituto Nacional de Tecnología Industrial (INTI), Buenos Aires, AR. Jornadas de desarrollo e innovación, 3 / Electrónica e Informática, precompetitivo, investigación aplicada. AR. 2000;;;;"Recuperación de información; Estrategías de búsquedas; Términos de búsqueda; Términos de indización; Fuentes de información; Evaluación";
Criterio modular para evaluar y seleccionar fuentes de información en internet;Falcato, P.; (INTI-Extensión y Desarrollo-Biblioteca);2002;INTI;Instituto Nacional de Tecnología Industrial (INTI), Buenos Aires, AR. Jornadas de desarrollo e innovación, 4 / Electrónica e informática, investigación aplicada, precompetitivo. AR. 2002;;;;"Fuentes de información; Evaluación de la información; Internet; Servicios de información; Sector industrialLíquidos; Institutos de investigación; Servicio de referencia";
Sistema de ayuda para la redacción de mensajes en un servicio de referencia por correo electrónico;Falcato, Pedro;;2005;INIBI;;4514;;;"Servicio de referencias; Correo electrónico; Comunicaciones; Interfaces";
El Grupo de Trabajo sobre Consultas en Bases de Datos del CAICYT: Un antecedente argentino en la pre-historia de las búsquedas de información científica y tecnológica en Internet. Parte 1: Contexto original y conformación del grupo. The Work Team on Databases Queries of CAICYT: An Argentine precedent in the pre-history of the scientific and technological information search on the Internet. Part 1: Original context and the conformation of the group;Falcato, P.; (INTI-Extensión y Desarrollo-Biblioteca);2013;INIBI;;;;;"Búsqueda en línea; Recuperación de información; Bases de datos; Internet; Historia; Fuentes de información; Documentación; Capacitación; Información científico técnica";
Algunas reflexiones relacionadas con el sentido (o sinsentido) de la investigación. Some thoughts related to the sense (or senseless) of research;Falcato, Pedro; (INTI-Extensión y Desarrollo-Biblioteca);2008;INIBI;;;;;"Investigación; Metodología";
El Grupo de Trabajo sobre Consultas en Bases de Datos del CAICYT: Un antecedente argentino en la pre-historia de las búsquedas de información científica y tecnológica en Internet. Parte 2: Desarrollo, actividades y legado. The Work Team on Databases Queries of CAICYT: An Argentine precedent in the pre-history of the scientific and technological information search on the Internet. Part 2: Development, Activities and Legacy;Falcato, Pedro; (INTI-Extensión y Desarrollo-Biblioteca);2014;INIBI;;;;;"Búsqueda en línea; Recuperación de información; Bases de datos; Internet; Historia; Fuentes de información; Documentación; Capacitación; Información científico técnica";
Procesos de búsqueda de información en entornos digitales: un estudio de usuarios del área tecnológica industrial argentina;Falcato, P.;Universidad de Buenos Aires. Facultad de Filosofía y Letras;2015;s.e.;;;;;"Bibliotecología; Ciencias de la información; Usuarios; Búsqueda en línea; Estrategias de búsqueda; Términos de búsqueda; Recuperación de la información; Manejo de la información; Evaluación de la información; Fuentes de información; Sistemas de información; Alfabetización informacional; Sociedad de la información; Tecnologías de la información y la comunicación; Información industrial; Investigación científico técnica; Tecnología y ciencia; Servicio de referencia";
