sep=;
TÍTULO;AUTOR;AUTOR INSTITUCIONAL;AÑO;EDITOR;REUNIÓN;SIGNATURA;CÓDIGO DOC;ICS;DESCRIPTORES;RESUMEN
"Eficiencia energetica en acondicionadores de aire tipo central paquete o dividido. Limite, metodos de prueba y etiquetado";"";"Dirección General de Normas (DGN)";"2002";"";"";"";"NOM-011-ENER-2002";"";"Aire acondicionado; Eficiencia energética";""
"Bienes y servicios. Agua purificada envasada. Especificaciones sanitarias";"";"Dirección General de Normas (DGN)";"1993";"";"";"";"NOM-041-SSA1-1993";"";"Agua; Purificación del agua; Agua envasada; Seguridad alimentaria";""
"Emulsiones asfálticas. Método de determinación por destilación del residuo asfáltico y de los hidrocarburos destilables";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1988";"";"";"";"IRAM 6719";"75.140.00";"Emulsiones asfálticas";""
"Equipos de protección respiratoria. Aire comprimido para equipos de protección respiratoria aislantes";"";"Asociación Española de Normalización y Certificación (AENOR)";"1999";"";"";"";"UNE-EN 12021";"13.340.30";"Sistema respiratorio; Equipos de protección; Aire comprimido; Especificaciones; Calidad";""
"Paints and varnishes -- Determination of resistance to liquids -- Part 2: Water immersion method";"";"International Organization for Standardization (ISO)";"1993";"";"";"";"ISO 2812-2";"87.040";"Pinturas; Barnices; Métodos de determinación; Resistencia de materiales; Líquidos; Inmersión en agua";""
"Mezclas adhesivas para revestimientos cerámicos, calcáreos, graníticos y pétreos, a base de ligantes hidráulicos. Determinación del coeficiente de absorción de agua";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"2004";"";"";"";"IRAM 45076";"91.100.01";"Mezclas adhesivas; Absorción de agua; Métodos de determinación; Revestimientos cerámicos; Revestimientos graníticos; Revestimientos calcáreos; Revestimientos pétreos";""
"Materials and articles in contact with foodstuffs - Plastics substances subject to limitation - Part 23: Determination of formaldehyde and hexamethylenetetramine in food simulants";"";"British Standards (BSI)";"2005";"";"";"";"DD CEN/TS 13130-23";"67.250";"Plásticos; Alimentos; Métodos de determinación; Formaldehido; Alimentos simulados; Agua; Acido acético; Alcohol etílico; Aceites de oliva";""
"Water quality - Enumeration of culturable micro-organisms - Colony count by inoculation in nutrient agar culture medium";"";"International Organization for Standardization (ISO)";"1999";"";"";"";"ISO 6222";"07.100.20";"Análisis de agua; Calidad; Métodos de análisis; Mediciones; Microorganismos; Enumeración; Inoculación; Agar; Nutrientes";""
"Adhesivos - De contacto con base acuosa";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1998";"";"";"";"IRAM 45047";"83.180";"Adhesivos; Métodos de determinación; Agua";""
"Water quality - Detection and enumeration of Pseudomonas aeruginosa - Method by membrane filtration";"";"International Organization for Standardization (ISO)";"2006";"";"";"";"ISO 16266";"13.060.70";"Agua; Calidad; Métodos de determinación; Detección; Pseudomonas aeruginosa; Enumeración; Membranas; Filtración";""
"Water quality - Detection and enumeration of intestinal enterococci - Part 2: Membrane filtration method";"";"International Organization for Standardization (ISO)";"2000";"";"";"";"ISO 7899-2";"07.100.20";"Agua; Calidad; Análisis de agua; Análisis bacteriológico; Detección; Enumeración; Enterococos; Membranas; Filtración";""
"Water quality -- Detection and enumeration of Escherichia coli and coliform bacteria -- Part 1: Membrane filtration method";"";"International Organization for Standardization (ISO)";"2000";"";"";"";"ISO 9308-1";"07.100.20";"Agua; Calidad; Análisis de agua; Análisis bacteriológico; Detección; Enumeración; Escherichia coli; Bacterias coliformes; Recuento bacteriano; Membranas; Filtración";""
"Water quality -- Detection and enumeration of coliform organisms, thermotolerant coliform organisms and presumptive Escherichia coli -- Part 2: Multiple tube (most probable number) method";"";"International Organization for Standardization (ISO)";"2000";"";"";"";"ISO 9308-2:2000";"07.100.20";"Agua; Calidad; Análisis de agua; Análisis bacteriológico; Detección; Enumeración; Escherichia coli; Bacterias coliformes; Recuento bacteriano; Número más probable";""
"Water analysis. Determination of the threshold odour number (TON) and threshold flavour number (TFN)";"";"British Standards (BSI)";"1998";"";"";"";"BS EN 1622";"13.060.60";"Agua potable; Análisis de agua; Métodos de determinación; Umbral de olor; Umbral de sabor; Análisis sensorial; Análisis cuantitativo; Migración";""
"Grados de protección proporcionados por las envolventes (Código IP). (CEI 529:1989)";"";"Asociación Española de Normalización y Certificación (AENOR)";"1993";"";"";"";"UNE 20324";"29.100.01";"Equipos eléctricos; Protección; Envolventes; Ensayos; Marcado";""
"Materiales para juntas, no metálicos. Planchas de fibras celulósicas tratadas";"";"Instituto Argentino de Normalización y Certificación (IRAM)";"1969";"";"";"";"IRAM 213464";"21.140.00";"Juntas; Materiales; Fibras celulósicas; Planchas";""
